N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
135;Памятная доска ДКС Союзэнергожилстроя и Спецжилстроя КГС о вводе 3 млн кв. м жилья;Центральный район, ул. Баныкина, 20, фасад здания (земельный участок, предназначенный для объектов жилой застройки, для дальнейшей эксплуатации многоквартирного дома, кадастровый номер 63:09:0301115:530);Общая долевая собственность многоквартирного жилого дома;
136;Стела В.В. Баныкину;Микрорайон Портовый, берег водохранилища;Муниципальная собственность. Движимое имущество;
137;Мемориал умершим в годы Великой Отечественной войны;Микрорайон Портовый, берег водохранилища;Муниципальная собственность. Недвижимое имущество  Право собственности зарегистрировано;
138;Памятный знак в честь 50-летия Великой Отечественной войны (Аллея ветеранов);Центральный р-н, городской Парк культуры и отдыха;Обращений по оформлению права собственности не поступало. В связи с этим процедура оформления не проводилась;
139;Памятник В.Н. Татищеву;Микрорайон Портовый, набережная;Муниципальная собственность. Недвижимое имущество;
140;"Скульптурная композиция ""Николай Чудотворец""";Центральная площадь;Права муниципальной собственности на объект не оформлены;
141;"Монументально-скульптурная композиция ""За власть Советов""";Комсомольский р-н, ул. Коммунистическая, 120;Муниципальная собственность. Движимое имущество;
142;Мемориальная доска на доме, в котором жил Герой Советского Союза Н.В. Черненко;Ул. 70 лет Октября, 9 (земельный участок с кадастровым номером 63:09:0101154:536);Общая долевая собственность многоквартирного жилого дома по ул. 70 лет Октября, 9;
143;"Закладной камень в честь ""Пальмиро Тольятти""";Западнее здания Приморский б-р, 37, территория Итальянского сквера (земельный участок с кадастровым номером 63:09:0101170:620);Многоквартирный жилой дом;
144;"Монументально-мозаичная стела-панно ""Радость труда""";Автозаводский район, юго-западнее здания, имеющего адрес: бульвар Приморский, 37 (земельный участок с кадастровым номером 63:09:0101179:5);"Муниципальная собственность. Под строительство культурно-выставочного комплекса, договор аренды земельного участка от 07.06.2006 N 1394 на 8 лет ООО ""ЭКСПО-ТОЛЬЯТТИ""";
145;Фонтан (технологический);Западнее здания Приморский б-р, 37, территория Итальянского сквера;;
146;Фонтаны (технологические);Западнее территории Парка Победы в Автозаводском районе (земельный участок с кадастровым номером 63:09:0101177:5);"Собственность муниципального образования У МБУ г.о. Тольятти ""Парки города"" на праве постоянного (бессрочного) пользования";
147;Фонтан (технологический);"Ул. Свердлова, территория южнее кинотеатра ""Сатурн"" (земельный участок с кадастровым номером 63:09:0101160:11)";Частная собственность;
148;Памятник-бюст маршала, Героя Советского Союза Г.К. Жукова;Ул. Жукова, 14, на территории сквера им. М. Жукова;Государственная собственность не разграничена;
149;Памятник-бюст генерала, Героя Советского Союза Д.М. Карбышева;Ул. Дзержинского, 2-А, перед зданием в/ч 21208 (земельный участок с кадастровым номером 63:09:0102151:22);Собственность Российской Федерации;
150;Памятник-бюст В.Н. Полякова;"Южное шоссе, 36, на площади у здания ОАО ""АВТОВАЗ""(земельный участок с кадастровым номером 63:09:0102159:1)";Собственность Российской Федерации;
151;"Памятник-символ ""За отвагу""";Ул. 40 лет Победы, на территории МОУ СОШ N 93 (земельный участок с кадастровым номером 63:09:0101158:514);Муниципальная собственность. Постоянное (бессрочное) пользование за МОУ СОШ N 93;
152;Памятный знак (камень) в честь 60-летия Победы в Великой Отечественной войне 1941 - 1945 гг.;Ул. 40 лет Победы, 86, территория севернее БУ СОШ N 70 (земельный участок с кадастровым номером 63:09:0101151:517);Муниципальная собственность. Постоянное (бессрочное) пользование за МБУ СОШ N 70;
153;Памятный знак (камень) в честь ликвидаторов чернобыльской катастрофы и всех пострадавших от радиации и техногенных аварий;Б-р Космонавтов, 26 (земельный участок с кадастровым номером 63:09:0101152:581);Общая долевая собственность многоквартирного жилого дома по б-ру Космонавтов, 26;
154;Памятник-бюст Г. Гая;Б-р Буденного, 9, территория МБУ СОШ N 33 (земельный участок с кадастровым номером 63:09:0101170:569);Муниципальная собственность. Постоянное (бессрочное) пользование за МБУ СОШ N 33;
155;Памятный знак (камень) в честь 60-летия Победы;"Б-р Гая, 18, 22. 1. 63:09:0101150:663; 2. 63:09:0101150:666";1. Многоквартирный дом 2. Многоквартирный дом;
156;Памятный знак (камень) в честь 55-й годовщины Победы;На территории Аллеи ветеранов Великой Отечественной войны, между МБУ СОШ N 99 и домом N 15 по ул. Тополиной;Государственная собственность не разграничена;
157;Памятный знак (камень) в честь Победителей в Великой Отечественной войне;На территории Аллеи ветеранов Великой Отечественной войны, б-р Цветной, 25;Государственная собственность не разграничена;
158;Памятный знак (камень) в честь открытия сквера в 2005 году;Б-р Татищева, 11, 13;Государственная собственность не разграничена;
159;Памятный знак пограничникам;Ул. Юбилейная, территория Парка Победы в Автозаводском районе;"Собственность муниципального образования У МБУ г.о. Тольятти ""Парки города"" на праве постоянного (бессрочного) пользования";
160;"Памятник ""Преданность""";Автозаводский район, на пересечении Южного шоссе и ул. Льва Яшина;Государственная собственность не разграничена;
161;"Скульптурная композиция ""Сон""";"Автозаводский район, ул. Революционная, около кинотеатра ""Сатурн"" (земельный участок с кадастровым номером 63:09:0101160:11)";Частная собственность;
162;"Скульптурная композиция ""Лето""";"Приморский б-р, 49, у спортивного комплекса ""Олимп"" (земельный участок с кадастровым номером 63:09:0101178:9)";"Собственность муниципального образования МОУ ДОД К СДЮСШОР ""Олимп"" на праве постоянного (бессрочного) пользования";
