N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
1;Парк Победы;Территория между ул. Юбилейной, ул. Революционной, ул. Фрунзе, б-ром Приморский, в том числе земельный участок с кадастровым номером 63:09:0101177:5;"Муниципальная собственность, предоставлен на праве постоянного (бессрочного) пользования муниципальному бюджетному учреждению городского округа Тольятти ""Парки города""";
2;Аллея отдыха;"Территория вдоль ул. Революционной от пр-та Ленинского до ТЦ ""Город цветов"", от ул. Революционной до ул. Юбилейной, в том числе земельный участок с кадастровым номером 63:09:0101164:521";Муниципальная собственность;Земельный участок сформирован с точными границами
3;Зона отдыха;Б-р Луначарского, 4, 8 (территория вдоль б-ра Луначарского, до границ жилой застройки);Государственная собственность не разграничена;Территория общего пользования
4;Зона отдыха;Площадка между жилыми домами б-р Курчатова, 10, 12, 3, 5;Государственная собственность не разграничена;Территория общего пользования
5;Зона отдыха;Восточнее дома N 14 по б-ру Гая, в том числе земельный участок с кадастровым номером 63:09:0101150:627;Государственная собственность не разграничена;
6;"Сквер семейного отдыха ""Аллея ветеранов""";Площадка между зданиями N 82, 86 по ул. 40 лет Победы и N 55а, 51 по ул. Автостроителей, в том числе земельный участок с кадастровым номером 63:09:0101151:548;В общей долевой собственности многоквартирного дома ул. 40 лет Победы, 82;
7;Аллея ветеранов Великой Отечественной войны (в честь 60-летия Победы);Б-р Гая, 18;Государственная собственность не разграничена;Территория общего пользования
8;Сквер семейного отдыха;Б-р Кулибина, 2, территория вдоль б-ра Кулибина до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
9;Сквер семейного отдыха;Б-р Орджоникидзе, территория вдоль б-ра Орджоникидзе до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
10;Сквер семейного отдыха;Территория вдоль б-ра Туполева от пр-та Ленинского до дублера ул. Свердлова до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
11;Сквер семейного отдыха;Территория от дома N 12 по ул. Автостроителей, включая бульвар Солнечный до ул. 70 лет Октября;Государственная собственность не разграничена;Территория общего пользования
12;Сквер семейного отдыха;От пр-та Ст. Разина до б-ра Буденного вдоль жилых домов по адресу: пр-т Ст. Разина, 42, ул. Фрунзе, 17, до б-ра Буденного, 1 (лицей N 37);Государственная собственность не разграничена;Территория общего пользования
13;Сквер семейного отдыха;Территория вдоль б-ра Королева до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
14;Сквер семейного отдыха;Территория вдоль б-ра Курчатова до зоны жилой застройки (б-р Курчатова, 14, 20, ул. Свердлова, 44);В общей долевой собственности многоквартирного дома б-р Курчатова, 14;Участок не сформирован
15;Сквер семейного отдыха;Б-р Курчатова, восточнее жилого дома N 6, в том числе земельный участок с кадастровым номером 63:09:0101161:569;"Муниципальная собственность, договор аренды N 1788 от 18.08.2008 с ООО ""Парк Сервис""";"Договор аренды N 1788 от 18.08.2008 с ООО ""Парк Сервис"", исключен"
16;Сквер семейного отдыха;Территория вдоль б-ра Гая: от ул. Свердлова до дублера ул. Дзержинского до границ жилой застройки;Государственная собственность не разграничена;
17;Сквер семейного отдыха;Ул. 40 лет Победы, 112, совместно с территорией вдоль школы N 81 от въезда ул. 40 лет Победы, 116 до сквозного проезда;Государственная собственность не разграничена;Территория общего пользования
18;Сквер семейного отдыха;Территория, ограниченная зоной застройки: пр-т Ленинский, 17, 15, 21, пр-т Степана Разина, 32;Государственная собственность не разграничена;Территория общего пользования (спортивная площадка)
19;Сквер семейного отдыха;Ул. Тополиная, 43 (с южной стороны);Государственная собственность не разграничена;Территория общего пользования
20;Сквер семейного отдыха;Ул. 40 лет Победы, 48, в том числе земельный участок с кадастровым номером 63:09:0101154:529;В общей долевой собственности многоквартирного дома;
21;Сквер семейного отдыха;Земельный участок южнее ул. Революционной, 30 до б-ра Баумана;Государственная собственность не разграничена;Территория общего пользования
22;Сквер;Ул. Льва Яшина, 5 (восточнее);Государственная собственность не разграничена;Территория общего пользования
23;Сквер памяти С.Ф. Жилкина;Севернее здания, расположенного по адресу: ул. Революционная, 25, в том числе земельный участок с кадастровым номером 63:09:0101173:509;Муниципальная собственность, договор аренды N 2441 от 20.07.2011 (на 49 лет);
24;"Итальянский сквер с памятным знаком ""Пальмиро Тольятти""";Западнее здания, расположенного по б-ру Приморскому, 37, в том числе земельный участок с кадастровым номером 63:09:0101179:2;"Муниципальная собственность, в бессрочном пользовании у МБОУ ДОД КСДЮСШОР N 13 ""Волгарь""";
25;Сквер семейного отдыха;Б-р Космонавтов, 1 (территория вдоль бульвара Космонавтов до границ жилой застройки);Государственная собственность не разграничена;Территория общего пользования
26;Сквер семейного отдыха;"Территория с южной стороны ТЦ ""Русь на Волге"" от въезда с ул. Фрунзе до ул. Революционной";Государственная собственность не разграничена;Территория общего пользования
27;Сквер;Территория, расположенная между домами N 41 по ул. Свердлова и N 30 по ул. Революционной;Государственная собственность не разграничена;Территория общего пользования
28;Зона отдыха;Территория, расположенная между домами N 36 по пр-ту Ленинскому и N 40, 44 по ул. Революционной;Государственная собственность не разграничена;Территория общего пользования
29;Фонтан;Ул. Автостроителей, 12;Государственная собственность не разграничена;Территория общего пользования
30;Сквер;Территория, расположенная между б-ром Баумана и домом N 36 по пр-ту Ленинскому;Государственная собственность не разграничена;Территория общего пользования
31;Земельный участок рядом с Церковью Покрова Пресвятой Богородицы;Территория севернее и восточнее Церкви Покрова Пресвятой Богородицы, ограниченная ул. Дзержинского, ул. Ворошилова, дублером ул. Ворошилова, б-ром Луначарского до границ Церкви, в том числе земельный участок с кадастровым номером 63:09:0101162:540;Договор безвозмездного срочного пользования N 41 от 09.07.2013;
32;Рекреационная зона;"Территория, расположенная западнее кинотеатра ""Сатурн"" от пересечении ул. Революционной и ул. Свердлова до границ здания N 9а по ул. Революционной. 1. 63:09:0101160:514, 2. Жилой комплекс N 2, 3.63:09:0101160:11 кинотеатр ""Сатурн"" , 4. От ул. Свердлова по ул. Революционной на север, далее на восток до границы земельного участка под кинотеатром ""Сатурн"", на юг до ул. Свердлова, на кадастровом учете не стоит";1. Общая долевая собственность жилого комплекса ул. Революционная, 7, 2. Общая долевая собственность жилого комплекса N 2, 3. Частная собственность, 4.Государственная собственность не разграничена;
33;Земельный участок;Территория, прилегающая к зданию на ул. Свердлова, 11А, по границам: пр-т Ст. Разина, ул. Свердлова, проезд западнее дома N 11 по ул. Свердлова, севернее дома N 23 по пр-ту Ст. Разина, севернее дома N 25 по пр-ту Ст. Разина, по границам внутриквартального проезда, в том числе земельный участок с кадастровым номером 63:09:0101166:609;Частная собственность;
34;Зона отдыха;Территория вдоль бульвара Орджоникидзе, восточнее дома N 26 по пр-ту Ленинскому;Государственная собственность не разграничена;Территория общего пользования
35;Проектирование площади Автозаводского района;"Территория между ул. Революционной, ул. Юбилейной, ул. Фрунзе, МАУ ""ДКиТ"", в том числе:1. В границах: ул. Фрунзе, ул. Революционная до МАУ ""ДКиТ"", вдоль МАУ ""ДКиТ"", ул. Юбилейная, ул. Фрунзе - земельный участок с кадастровым номером 63:09:0101173:515 , 2. Земельный участок 63:09:0101173:509 под зданием МАУ ""ДКиТ""";"1. Не является муниципальной собственностью, договор аренды N 2555 от 14.02.2012 заключен с ЗАО ""Национальные кредитные карточки"", 2. Муниципальная собственность";
36;Лес за территорией городской больницы N 4;Территория леса восточнее планируемой дороги, соединяющей ул. Механизаторов и ул. Кунеевскую;Государственная собственность не разграничена;Земли городских лесов
37;"Территория бывшего кинотеатра ""Маяк"" по улице Коммунистической";Ул. Коммунистическая, 83, в том числе земельный участок с кадастровым номером 63:09:0201059:540;Государственная собственность не разграничена;
38;Земельный участок;Территория, расположенная между ул. Нижнегородской, ул. Параллельной, пр-дом Майским, до границ застройки;Государственная собственность не разграничена;Территория общего пользования
39;Сквер семейного отдыха;Территория, расположенная южнее пересечения ул. Шлюзовой и ул. Железнодорожной, в том числе земельный участок с кадастровым номером 63:09:0201060:14414;"Договор безвозмездного пользования N 54 от 21.08.2014 с ГКУ ""Управление капитального строительства""";
40;"Территория МЦ ""Спутник""";Ул. Коммунистическая, 90, территория между ул. Коммунистической и набережной, по границам продолжения ул. Матросова и планируемого трехъядерного физкультурно-оздоровительного центра;Государственная собственность не разграничена;Территория общего пользования
41;Парк культуры и отдыха Комсомольского района;Ул. Л. Чайкиной, 36, территория, ограниченная дорогами ул. Краснодонцев, ул. Космодемьянской, ул. Л. Чайкиной, дорога без названия, ограниченная зоной застройки: здание ул. Матросова, 19Б, ул. Мурысева, 67А, в том числе земельный участок с кадастровым номером 63:09:0201057:791;"Муниципальная собственность, предоставлен на праве постоянного (бессрочного) пользования МБУ городского округа Тольятти ""Парки города""";
42;Сквер семейного отдыха;Территория, расположенная к северу от здания ул. Мурысева, 45 до ул. Краснодонцев (между домами N 59 и N 63 по ул. Мурысева);Государственная собственность не разграничена;Территория общего пользования
43;Набережная Комсомольского района имени С.И. Туркина;Территория набережной по границам ул. Коммунистической, продолжения ул. Есенина, водохранилища, продолжения ул. Матросова, за исключением зоны застроек, в том числе земельный участок с кадастровым номером 63:09:0201058:15;Государственная собственность не разграничена;
44;Сквер;Территория восточнее здания Тольяттинского социально-экономического колледжа, между ул. Матросова, 11 и ул. Мурысева, 61А, в том числе земельный участок с кадастровым номером 63:09:0201057:973;Муниципальная собственность;
45;Сквер;"Территория, расположенная южнее рынка ""Кунеевский"" по границам жилых домов N 52, 66, 56 по ул. Л. Чайкиной, в том числе земельный участок с кадастровым номером 63:09:0201059:71";В собственности Самарского фонда жилья и ипотеки;
46;Площадь им. Денисова;"Территория, граничащая с МБОУ ДОД ""Центр развития творчества детей и юношества ""Истоки"", административным зданием N 15 по ул. 60 лет СССР, многоквартирным жилым домом N 13 по ул. 60 лет СССР, участком дороги по ул. Ново-Садовой, границами многоквартирных жилых домов N 44, 45, 48 по ул. 60 лет СССР";Государственная собственность не разграничена;Территория общего пользования
47;Сквер на въезде в мкр. Поволжский;Территория, ограниченная ул. Раздольной, ул. 60 лет СССР, границами многоквартирных жилых домов N 5, 3, 1 по ул. 60 лет СССР, лесным массивом Ново-Буянского лесничества;Государственная собственность не разграничена;Территория общего пользования
48;Сквер Вадима Леванова;Ул. Л. Чайкиной, 65, по адресу: территория восточнее Молодежного драматического театра до ул. Матросова, включая здание Молодежного драматического театра, в том числе земельный участок с кадастровым номером 63:09:0201057:606;"Муниципальная собственность, в бессрочном пользовании МБУИ городского округа Тольятти ""МДТ""";
49;"Сквер ДЦ ""Русич""";"Территория между ул. Крылова, ул. Носова, ДЦ ""Русич"", ул. Носова";Государственная собственность не разграничена;Территория общего пользования (зона парков, бульваров, набережных)
50;Сквер Крылова;"Территория южнее ул. Севастопольской, между домами N 7 по ул. Крылова и N 6 по ул. Севастопольской; между домами N 5, 6 по ул. Крылова;между домами N 7, 8, 9, 10 по ул. Никонова до ул. Носова";Государственная собственность не разграничена;Территория общего пользования (зона парков, бульваров, набережных)
51;Микрорайон Портовый, берег водохранилища, в районе памятника Татищеву;"Территория от кольцевой троллейбусной площадки до берегоукрепления между лесопосадками, включая все объекты, расположенные на данной территории, в том числе земельные участки с кадастровыми номерами:1. 63:09:0305025:925; 2. 63:09:0305025:928; 3. 63:09:0301156:61";"1. Муниципальная собственность; 2. Муниципальная собственность; 3. Договор аренды N 1307 от 27.01.2006";
52;Сквер;"Территория восточнее ДК ""Тольятти"" им. Н.В. Абрамова, по границам улиц Ленинградской, Голосова, Мира. Земельный участок с кадастровым номером 63:09:0301156:11, находится в аренде ООО ""Единение"", договор аренды от 28.01.2008 N 1722";Немуниципальная;
53;Городской Парк культуры и отдыха Центрального района;"Территория между улицами Мира, Победы, Гагарина, Карла Маркса, в том числе: земельный участок с кадастровым номером 63:09:0305001:16, находится в муниципальной собственности городского округа Тольятти, в бессрочном пользовании МБУ городского округа Тольятти ""Парки города"". Вышеуказанный земельный участок был разделен на земельные участки с кадастровыми номерами: 63:09:0305001:523, 63:09:0305001:524, 63:09:0305001:525";Муниципальная собственность;
54;Площадь искусств;Территория западнее здания Тольяттинской филармонии, между ул. Победы, домами N 40, 44 по ул. Победы, включая здание Тольяттинской филармонии;Государственная собственность не разграничена;Территория общего пользования
55;Сквер;Территория вдоль СОШ N 63, гимназии N 9, между ул. Карбышева, 23, ул. Голосова, 28А;Государственная собственность не разграничена;Территория общего пользования
56;Бульвар Молодежный (в т.ч. все памятные сооружения на территории бульвара);Территория от ул. Победы до пл. Свободы, ограниченная проезжей частью б-ра Молодежного, в том числе на территории пешеходной аллеи находится земельный участок с кадастровым номером 63:09:0301158:11, не в аренде;Государственная собственность не разграничена;Территория общего пользования (зона парков, бульваров, набережных)
57;"Сквер ""Икар""";"Территория вдоль жилого дома N 22 по ул. Никонова, восточнее ул. Носова, 21 (""Икар""), граничащая с набережной";Государственная собственность не разграничена;Территория общего пользования
58;"Парк ""Железнодорожный""";Лесопарковая зона между ул. Шлюзовой, ул. Железнодорожной, ул. Никонова до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
59;Сквер;"Территория между зданиями ФГБОУ ВПО ""Тольяттинский государственный университет"" (ул. Белорусская, 14), ОАНО ВПО ""Волжский университет имени В.Н. Татищева"" (институт) (ул. Белорусская, 6а) и детским садом N 34";Государственная собственность не разграничена;Земельный участок не сформирован
60;Асфальтированная площадка;"Ул. Гидростроевская, 17, площадка перед зданием филиала ГОУ ВПО ""Поволжский государственный университет"", в том числе земельный участок с кадастровым номером 63:09:0301104:13";"Федеральная собственность, предоставлен на праве постоянного (бессрочного) пользования ГОУ ВПО ""Поволжский государственный университет""";
61;Сквер;"Ул. Ленинградская, территория перед зданием клуба ""Интурист"", между зданием МУИ драматический театр ""Колесо"" и домом N 35 по ул. Ленинградской, в том числе земельный участок с кадастровым номером 63:09:0301164:517";"Муниципальная собственность, предоставлен на праве постоянного (бессрочного) пользования МУИ драматический театр ""Колесо""";
62;Сквер;"Ул. Ленинградская, сквер с западной стороны Дома быта ""Россия""";Государственная собственность не разграничена;Земельный участок не сформирован
63;Сквер;"Ул. Мира, территория вдоль дома N 123 (магазин ""БОН-БОН""), в том числе земельный участок с кадастровым номером 63:09:0301154:562";В общей долевой собственности многоквартирного дома ул. Мира, 123;
64;Сквер;Ул. Мира, территория между домами N 39, 41, 43;Государственная собственность не разграничена;Земельный участок не сформирован
65;Сквер;"Ул. Мира, территория между домами N 51, 53, 55, в том числе:1. 63:09:0301100:531; 2. Земельный участок под жилым домом N 51 по ул. Мира (земельный участок не сформирован)";"1. В общей долевой собственности многоквартирного дома ул. Мира, 55.; 2. После постановки на кадастровый учет будет в общей долевой собственности многоквартирного дома N 51 по ул. Мира";
66;Сквер;Ул. Ленинградская, территория между зданием поликлиники (ул. Ленинградская, 48) и детским садом (ул. Ленинградская, 54), в том числе земельный участок с кадастровым номером 63:09:0301100:534;"Муниципальная собственность, предоставлен на праве постоянного (бессрочного) пользования МБУ детский сад N 26 ""Сказка""";
67;Сквер;Квартал 143, территория вдоль дороги на многопрофильную больницу и домом N 47 по Автозаводскому шоссе;Государственная собственность не разграничена;Земельный участок не сформирован
68;Сквер;Территория вдоль ул. Лесной, между домами N 36, 44;Государственная собственность не разграничена;Земельный участок не сформирован
69;Сквер;Территория вдоль ул. Лесной, между домами N 52, 46. В границах территории расположен земельный участок с кадастровым номером 63:09:0301138:789 под эксплуатацию модульного павильона с летним кафе;Государственная собственность не разграничена;Земельный участок не сформирован
70;Сквер;Территория вдоль ул. Лесной, между домами N 60, 54;Государственная собственность не разграничена;Земельный участок не сформирован
71;Сквер семейного отдыха;Территория, расположенная к северу от здания ул. Коммунистическая, 43, до ул. Мурысева (между домами N 52 и N 54 по ул. Мурысева). В границах территории расположен земельный участок с кадастровым номером 63:09:0201057:872. Для строительства административного здания;Государственная собственность не разграничена;
72;Сквер семейного отдыха;Территория между жилыми домами 73, 75, 85 по ул. Юбилейной, в том числе земельный участок с кадастровым номером 63:09:0101180:16;Часть территории не разграничена. Часть предоставлена под размещение временного объекта - круглосуточной автостоянки;Ведется строительство
73;Сквер на ул. Ушакова;Территория между улицами Баныкина, Мира до границ жилой застройки;Государственная собственность не разграничена;Земельный участок не сформирован
74;Сквер;Территория западнее ул. Победы, 52, между домами N 50а, 60 по ул. Победы и улицей Победы, в том числе земельный участок с кадастровым номером 63:09:0301151:588;В общей долевой собственности многоквартирного дома ул. Победы, 52;
75;Площадь Свободы;"Территория, ограниченная ул. Карла Маркса, зданиями мэрии, театра кукол ""Пилигрим"", администрацией Ставропольского района, в том числе земельный участок с кадастровым номером 63:09:0301148:554";Муниципальная собственность - 63:09:0301148:554 под обелиском Славы;
76;Площадь Автозаводского района;"Территория между ул. Революционной, ул. Юбилейной, ул. Фрунзе, пр-том Ленинским. 1. 63:09:0101177:6;  2. 63:09:0101177:3;  3.63:09:0101177:5";"1. Для строительства универсального комплекса с инженерно-техническим обеспечением. 2. Права не оформлены. 3.Муниципальная собственность (в постоянном (бессрочном) пользовании у МБУ г.о. Тольятти ""Парки города"" для дальнейшей эксплуатации парка культуры и отдыха ""Победа"" (зона N Р-1)";Ранее учтенный, Ранее учтенный
77;Территория квартала 71 напротив Краеведческого музея;"Б-р Ленина (четная сторона от ул. Баныкина до ул. Ленинградской), ул. Баныкина (от б-ра Ленина до дома N 16 по ул. Баныкина), ул. Ленинградская (от б-ра Ленина до дома N 3А по б-ру Ленина. 1. 63:09:0301114:3;  2.63:09:0301114:511";Государственная собственность не разграничена;
78;Центральная площадь;"Ул. Мира с северной стороны (от пл. Центральной до ул. Победы); ул. Ленинградская с южной стороны (от пл. Центральной до ДК ""Тольятти""); пл. Центральная с западной стороны (от ул. Ленинградской до ул. Мира), включая все объекты, расположенные на Центральной площади. 1. 63:09:0301156:530; 2.63:09:0301156:5; 3. 63:09:0301156:512; 4.63:09:0301156:522";1. Муниципальная собственность. 2.Договор аренды от 04.04.2006 N 1362. 3. Государственная собственность не разграничена. 4. Право собственности Российской Федерации;
79;Аллея Славы;Центральная площадь (восточнее здания Думы городского округа Тольятти);;
80;Территория южнее здания мэрии;Ул. Ингельберга, 1В, до ограждения вдоль ул. Ингельберга;Государственная собственность не разграничена;
81;Территория севернее ограждения здания мэрии;Ул. Ингельберга, 1В, до проезда по ул. Изумрудной, в том числе земельный участок с кадастровым номером 63:09:0201061:1747;Бессрочное пользовании мэрии городского округа Тольятти;
82;Сквер;Территория, расположенная южнее дома N 8 по б-ру Космонавтов (в районе подъездов N 13, 14), в том числе земельный участок с кадастровым номером 63:09:0101152:602;Общая долевая собственность многоквартирного жилого дома по б-ру Космонавтов, 8;
83;Цветники;Территория, расположенная восточнее домов N 34, 40, 44, 58, 60, 62, 64, 66 по ул. Революционной;Государственная собственность не разграничена;
84;Микрорайон Портовый, территория под размещение памятного знака И.В. Комзину;Территория, расположенная в границах: ул. Комзина (нечетная сторона) от Комсомольского шоссе, между магистральной дорогой и домом N 21 по ул. Комзина;Государственная собственность не разграничена;
85;Земельный участок, расположенный на пересечении Комсомольского шоссе и ул. Комзина, с размещенной на нем Стелой;"Ул. Комзина (четная сторона) от Комсомольского шоссе до дороги к дому N 8 по ул. Комзина; Комсомольское шоссе (четная сторона) от ул. Комзина до проезда между стадионом и Приходом в честь Успения Пресвятой Богородицы; юго-восточная сторона до границ застройки Прихода в честь Успения Пресвятой Богородицы";Государственная собственность не разграничена;Для размещения Мемориального комплекса памяти героям-гидростроителям во главе с И.В. Комзиным
86;Сквер;"Территория, расположенная севернее МАУ ""ДКиТ"", здания N 25 по ул. Революционной, по границам пр-та Ленинского, ул. Юбилейной, ул. Революционной. 1. 63:09:0101173:512; 2.63:09:0101173:509; 3. 63:09:0101173:531";"1. Договор аренды от 15.03.2011 N 2355 (ООО ""Прогресс""). 2.Муниципальная собственность, договор аренды от 20.07.2011 N 2441. 3. Безвозмездное срочное пользования по договору от 13.10.2011 N 24";
87;Земельный участок;"Территория, расположенная за МБУИ городского округа Тольятти ""Театр кукол ""Пилигрим"" (театральный сад) в границах ул. Пушкина от пл. Свободы до ул. Садовой, ул. Садовая от ул. Пушкина до границ территории стадиона ""Труд"", в том числе земельный участок с кадастровым номером 63:09:0301148:502";"Муниципальная собственность, в бессрочном пользовании МБУИ городского округа Тольятти ""Театр кукол ""Пилигрим""";
88;Парковая зона;Территория мкр Шлюзовой, расположенная северо-западнее от ул. Шлюзовой, 35, между ул. Железнодорожной и дублером ул. Железнодорожной, вдоль домов ул. Шлюзовая, 35, ул. Железнодорожная, N 49а, 39, 33а до проезда Дорофеева, исключая автостоянки и строения;Государственная собственность не разграничена;
89;Сквер;"Территория мкр Шлюзовой, расположенная севернее ул. Гидротехнической между домами N 35а по ул. Гидротехнической (""Вертикаль""), N 33 по ул. Гидротехнической, N 43, 47 по ул. Железнодорожной до дублера ул. Железнодорожной, исключая автостоянки";Государственная собственность не разграничена;
90;Сквер;"Территория мкр Шлюзовой, расположенная вдоль ул. Зеленой до лесопарковой зоны, между домами N 8 по ул. Шлюзовой (Детский дом ""Единство"") и N 15 по ул. Шлюзовой (городская инфекционная больница)";Государственная собственность не разграничена;
91;Сквер;Территория, расположенная южнее жилого дома N 73 по ул. Л. Чайкиной, до проезда вдоль домов N 69, 71 по ул. Л. Чайкиной;Государственная собственность не разграничена;
92;Земельный участок;"Территория, на которой ранее располагался клуб ""Гидростроитель"", северо-восточнее указателя улицы Комзина, юго-восточнее жилого дома N 23 по ул. Комзина, в том числе земельный участок с кадастровым номером 63:09:0301169:75";Муниципальная собственность;На данной территории в муниципальной собственности имеется объект незавершенного строительства - хозблок, расположенный юго-восточнее жилого дома N 23 по ул. Комзина, право муниципальной собственности зарегистрировано в 2006 году по решению суда Центрального района г. Тольятти, право муниципальной собственности на земельный участок под данным объектом зарегистрировано в 2007 году
93;Земельный участок;"Между домами N 28 и 28А по ул. Л. Чайкиной, расположенными в том числе на земельных участках: 1. Земельный участок, предназначенный для объектов жилой застройки, для обслуживания, эксплуатации и благоустройства многоквартирного дома со встроенно-пристроенными нежилыми помещениями, кадастровый номер 63:09:0201057:825; 2. Земельный участок, для объектов общественно-делового значения, для строительства и дальнейшей эксплуатации Свято-Тихоновской церкви, кадастровый номер 63:09:0201057:944";Государственная собственность не разграничена;
