Регистрационный номер маршрута;Порядковый номер маршрута;Наименование маршрута;Наименование промежуточных ОП по маршруту;Наименование улиц, автомобильных дорог, по которым предполагается движение ТС между ОП по маршруту;Протяженность маршрута, км;Порядок посадки и высадки пассажиров;Вид регулярных перевозок;Вид ТС ;Класс ТС;Экологические характерис-тики ТС;Максимальный срок эксплуата-ции ТС;Наличие низкого пола;Наличие оборудования для перевозки пассажиров из числа инвалидов;Наличие электрон-ного информа-ционного табло;Максимальное количество ТС  каждого класса, которое допускается использовать для перевозок по маршруту;Дата начала осуществления регулярных перевозок
97;№ 6р;ОП ул. Баныкина – ОП Оптовый рынок - ОП ул. Баныкина;"ул. Баныкина, ТМО-2 (прямое направление), ул. Ленинградская, Рынок, Дворец молодежи, ул. Гагарина, к/т Космос, Горсад Дом природы, 27-й квартал, ул. Карбышева, Троллейбусное депо, Спецавтохозяйство, Оптовый рынок, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27-й квартал, Дом природы, ул. Победы, Гостиница Волга, ул. Гагарина, Дворец молодежи, Рынок, Стадион Труд, ул. Ленинградская, ул. Баныкина  
";ул.Баныкина, ул. Советская, ул. Комсомольская, ул. Ленина, ул.  Гагарина, ул. Карла Маркса, ул. Мира, ул. Комсомольская, ул. Васильевская , ул.Базовая, ул. Васильевская, ул. Комсомольская, ул. Мира, ул.Победы, ул.Гагарина, ул.Ленина, ул. Комсомольская, ул. Советская, ул.Баныкина;19,1;Только в установленных ОП;По регулируемым тарифам;Автобус;СК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;2;03.01.2026
;;"""а""  ОП ул. Баныкина – ОП Спецавтохозяйство - ОП ул. Баныкина";ул. Баныкина, ТМО-2 (прямое направление), ул. Ленинградская, Рынок, Дворец молодежи, ул. Гагарина , к/т Космос, Горсад, Дом природы, 27-й квартал, ул. Карбышева, Троллейбусное депо, Спецавтохозяйство, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27-й квартал, Дом природы, ул. Победы, Гостиница Волга, ул. Гагарина, Дворец молодежи, Рынок, Стадион Труд, ул. Ленинградская, ул. Баныкина;ул.Баныкина, ул.Советская, ул. Комсомольская, ул. Ленина, ул.  Гагарина, ул. Карла Маркса, ул.Мира, ул. Комсомольская, ул. Мира, ул. Победы, ул. Гагарина, ул. Ленина, ул. Комсомольская, ул. Советская, ул. Баныкина;15,5;;;;;;;;;;;
98;№ 22в               ;"""е"" ОП ул. Есенина -  ОП ЦЗЧ-2";"ул. Есенина, 3 квартал, МСЧ № 8, Парк, Сквер Вадима Леванова (обратное направление), МДТ (обратное направление), Колледж технического и художественного образования, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Школа № 1, 73 квартал, Магазин Юность, 72 квартал, ул. Голосова, б-р Ленина, Краеведческий музей, ТМО-2, ТМО-2 (прямое направление), ул. Ленинградская, ул. Жилина, Горсад (прямое направление), ул. Победы (прямое направление), Гостиница Волга (прямое направление), к/т Космос (обратное направление), ул. Гагарина, Молодежный б-р, площадь Свободы, к/т Буревестник, к/т Буревестник (обратное направление), Магазин Северянка, ул. Горького (прямое направление), Детский мир, Техучилище, Школа № 27, Колледж, Гостиница Ставрополь, ул. Л. Толстого, Мик-Маг (прямое направление), КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18 квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2

";"ул.Есенина, ул. Механизаторов, ул. Л. Чайкиной, ул.Матросова, ул. Громовой, ул. Кунеевская, ул. Баныкина, ул. Советская, ул. Мира, ул. Победы, ул. Гагарина, ул. Ленина, Молодежный б-р, ул. К. Маркса ,ул. М.Горького, ул.Ленина, ул.Л. Толстого, ул. А. Кудашева, Автозаводское шоссе, Южное шоссе, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул. Северная
";34,3;Только в установленных ОП;По регулируемым тарифам;Автобус;СК         БК;Не ниже ЕВРО-3;Не более 10 лет;да;да;да; 1             8;12.01.2026
;;"""б""  ОП ул.Баныкина - ОП ЦЗЧ-2";ул. Баныкина, ТМО-2 (прямое направление), ул. Ленинградская, ул. Жилина, Горсад (прямое направление), ул. Победы (прямое направление), Гостиница Волга (прямое направление), к/т Космос (обратное направление), ул. Гагарина, Молодежный б-р, площадь Свободы, к/т Буревестник, к/т Буревестник (обратное направление), Магазин Северянка, ул. Горького (прямое направление), Детский мир, Техучилище, Школа № 27, Колледж, Гостиница Ставрополь, ул. Л. Толстого, Мик-Маг (прямое направление), КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18 квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;"ул.Баныкина, ул. Советская, ул. Мира, ул. Победы, ул. Гагарина, ул. Ленина, Молодежный б-р, ул. К. Маркса, ул. М. Горького, ул. Ленина, ул. Л. Толстого, ул. А. Кудашева, Автозаводское шоссе, Южное шоссе, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул.Северная
";25,0;;;;;;;;;;;
99;№ 28о        ; ОП Западный пляж-  Особая экономическая зона;Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Ёлочка, д/с Весёлая семейка, д/с Соловушка, д/с Дубравушка, ул. Ворошилова, Кафе Каскад, 10 квартал, б-р Луначарского, ТВВКИСУ, Лесопитомник, пр-т Ст. Разина, Лицей искусств, Колледж технического и художественного образования – корпус 1, Проектное управление, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Жигулевская долина, ОЭЗ;ул.Спортивная, б-р Приморский, ул. Жукова, ул.Ворошилова, ул. Дзержинского, ул. Воскресенская, Южное шоссе;18,0;Только в установленных ОП;По регулируемым тарифам;Автобус;СК         БК;Не ниже ЕВРО-3;Не более 10 лет;да;да;да;2             7;12.01.2026
;;"""к""  ОП Западный пляж-  ОП КВЦ";Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Ёлочка, д/с Весёлая семейка, д/с Соловушка, д/с Дубравушка, ул. Ворошилова, Кафе Каскад, 10 квартал, б-р Луначарского, ТВВКИСУ, Лесопитомник, пр-т Ст. Разина, Лицей искусств, Колледж технического и художественного образования – корпус 1, Проектное управление, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул. Спортивная, б-р Приморский, ул. Жукова, ул. Ворошилова, ул. Дзержинского, ул. Воскресенская, Южное шоссе;14,0;;;;;;;;;;;
;;"""м""  ОП Западный пляж - ОП Медсанчасть";Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Ёлочка, д/с Весёлая семейка, д/с Соловушка, д/с Дубравушка, ул. Ворошилова, Кафе Каскад, 10 квартал, б-р Луначарского, ТВВКИСУ, Лесопитомник, пр-т Ст. Разина, Лицей искусств, Колледж технического и художественного образования – корпус 1, Проектное управление, Учебный центр, Медсанчасть;ул. Спортивная, б-р Приморский, ул. Жукова, ул. Ворошилова, ул. Дзержинского, ул. Воскресенская, Южное шоссе;12,0;;;;;;;;;;;
100;№ 36о        ; ОП Западный пляж -  Особая экономическая зона;Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Ёлочка, д/с Весёлая семейка, д/с Соловушка, д/с Дубравушка, б-р Здоровья, Детская больница, Медгородок, ул. 40 Лет Победы, Заводская, 12 квартал, Молодежная, Школа № 82, Гостиница Лада, Студенческая, Кафе встреча, ул. Полякова, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АвтоВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Жигулевская долина, ОЭЗ;"ул.Спортивная, б-р Приморский, ул. Жукова, ул.40 Лет Победы, ул.Автостроителей, ул.70 лет Октября, ул. Полякова, Южное шоссе
";23,0;Только в установленных ОП;По регулируемым тарифам;Автобус;СК         БК;Не ниже ЕВРО-3;Не более 10 лет;да;да;да;1             6;12.01.2026
;;"""к""  ОП Западный пляж - ОП КВЦ";Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Ёлочка, д/с Весёлая семейка, д/с Соловушка, д/с Дубравушка, б-р Здоровья, Детская больница, Медгородок, ул. 40 Лет Победы, Заводская, 12 квартал, Молодежная, Школа № 82, Гостиница Лада, Студенческая, Кафе встреча, ул. Полякова, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АвтоВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;"ул.Спортивная, б-р Приморский, ул. Жукова, ул.40 Лет Победы, ул.Автостроителей, ул.70 лет Октября, ул. Полякова, Южное шоссе
";17,0;;;;;;;;;;;
;;"""м""  ОП Западный пляж – Медсанчасть";Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Ёлочка, д/с Весёлая семейка, д/с Соловушка, д/с Дубравушка, б-р Здоровья, Детская больница, Медгородок, ул. 40 Лет Победы, Заводская, 12 квартал, Молодежная, Школа № 82, Гостиница Лада, Студенческая, Кафе встреча, ул. Полякова, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АвтоВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть;"ул.Спортивная, б-р Приморский, ул. Жукова, ул.40 Лет Победы, ул.Автостроителей, ул.70 лет Октября, ул. Полякова, Южное шоссе
";15,0;;;;;;;;;;;
101;№ 12в;ОП Театр Колесо – ОП КВЦ;Театр Колесо, Больница, Дом Быта, Горсад, ул. Победы (обратно Гостиница Волга, к/т Космос), Площадь Искусств, Индустриально-педагогический колледж, Школа № 4, ул. М. Горького, Детский мир, Техучилище (обратное направление), к/т Авангард, ул. Крупской, Магазин Автолюбитель, Многопрофильная больница, ул. Мичурина, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;"ул.Ленинградская, ул. К. Маркса, ул. Мира, ул.Победы, ул. М. Горького, ул. Ленина, б-р 50 лет Октября, Автозаводское шоссе, Южное шоссе

";18,7;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;12;01.06.2026
;;"/1  ""ОП Площадь Никонова - ОП Инженерный центр""";Площадь Никонова, ул. Зеленая, Гидротехническая, Вокзальная, Куйбышева, Школа 14, Жигулевское море, УТЭП, Кунеевский рынок, Молокозавод, Механизаторов,  Спецавтохозяйство, Троллейбусное депо, ул. Карбышева,  27 квартал, Дом Природы, Горсад,  ул. Жилина,  Магазин Светлана, Гидростроевская, Школа интернат №5,  Детская многопрофильная больница, ул. Мичурина, КВД, Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18А квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7-я вставка, 5-я вставка,  3-я вставка, 1-я вставка, КВЦ, ППИ, БАЗА УМТС, Прессовое производство,  10 КПП,  Ремонтно-кузнечный цех,  Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр;ул.Никонова, ул. Шлюзовая, ул. Гидротехническая, ул. Куйбышева, ул. Громовой, ул. Кунеевская, ул. Комсомольская, ул. Мира, ул. Родины, ул. Лесная, Автозаводское шоссе, Южное шоссе, ул. Цеховая, ул.Вокзальная, ул. Борковская;36,8;;;;;;;;;;;
;;"/2 ""ОП Площадь Никонова - ОП КВЦ""";Площадь Никонова, ул. Зеленая, Гидротехническая,  Вокзальная, Куйбышева, ОП Школа 14, Жигулевское море, Молокозавод, Хладокомбинат, Пивзавод, Обувная фабрика, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, ОП Прессовое производство, База УМТС, ППИ,  Дженерал Моторс, КВЦ;ул.Никонова, ул.Шлюзовая,ул. Гидротехническая, ул. Куйбышева, Обводное шоссе, ул. Коммунальная, ул. Борковская, ул. Вокзальная, ул.Цеховая,Южное шоссе;38,5;;;;;;;;;;;
;;"/3 ""ОП КВЦ - ОП Площадь Никонова""";КВЦ, 1 вставка, 3 вставка, 5 вставка, 7 вставка, Медсанчасть, Управление кадров, Машиностроительный колледж, АВТОВАЗ-ТО, Инженерный центр, Обувная фабрика, Пивзавод, Хладокомбинат, Молокозавод, Военный госпиталь, Жигулевское море, 5 ВСО, Школа №14, Куйбышева, Вокзальная, Гидротехническая, Зеленая, Площадь Никонова;Южное шоссе, ул. Борковская, ул.Коммунальная, Обводное шоссе, ул. Куйбышева, ул.Гидротехническая, ул. Шлюзовая, ул. Никонова;38,5;;;;;;;;;;;
;;"/4 ""ОП Мясокомбинат - ОП КВЦ""";Мясокомбинат, АТК КуЭСП, Молокозавод,  Колледж технического и художественного образования, МДТ, ул. Мурысева, ГАИ Комсомольского района (прямое направление), ул. Тюленина, ул. З. Космодемьянской, ул. Есенина, Портпоселок, Русский бор, Санаторий Надежда, Лесопарковое шоссе, ул. Спортивная, Вега, ул. Революционная, Легкоатлетический манеж, Западный пляж, пос. Приморский, ул. Фрунзе, 3-й квартал, Ленинский проспект, Дом связи, Пожарное депо, ул. Дзержинского, Кооперативная, НТЦ ВАЗа, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Ярославская, ул.Громовой, ул.Матросова, ул. Коммунистическая,  Комсомольское шоссе, ул. Комзина,  Лесопарковое шоссе, ул. Спортивная, пр-т Московский, ул. Заставная, Южное шоссе;37,3;;;;;;;;;;;
;;"/5 ""ОП Площадь Никонова - ОП КВЦ""";Площадь Никонова, ул. Зеленая,  Гидротехническая, Вокзальная, Куйбышева, Школа 14, Жигулевское море, УТЭП,  Кунеевский рынок,  Мясокомбинат,  Универмаг Комсомольский,  ул. Л. Чайкиной, ул. Мурысева,  ГАИ Комсомольского района, ул. Тюленина, ул. З. Космодемьянской, ул. Есенина, Портпоселок, ул. Комзина, Автовокзал, Школа интернат №5,  Детская многопрофильная больница, ул. Мичурина, КВД,  Автозаводское шоссе, Восточное кольцо, АВТОВАЗ-ТО, Южное шоссе, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Никонова, ул. Шлюзовая, ул. Гидротехническая, ул. Куйбышева, ул. Ярославская, ул. Л. Чайкиной, ул. Матросова, ул. Коммунистическая, Комсомольское шоссе, ул.Комзина, ул. Родины, ул. Лесная, Автозаводское шоссе, Южное шоссе;33,2;;;;;;;;;;;
;;"/6 ""ОП Площадь Никонова - ОП ЗЧ-2""";Площадь Никонова, Гидротехническая, Вокзальная, Куйбышева,  Школа 14, Жигулевское море, Молокозавод,  Хладокомбинат, Пивзавод, Обувная фабрика, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул.Никонова, ул.Шлюзовая, ул. Гидротехническая, ул. Куйбышева, Обводное шоссе, ул. Коммунальная, ул. Борковская, ул.Вокзальная, ул. Цеховая, ул. Северная;44,0;;;;;;;;;;;
;;"/7 ""ОП Площадь Никонова - ОП КВЦ""";Площадь Никонова, ул. Зеленая, Гидротехническая, Вокзальная, Куйбышева, Школа 14, Жигулевское море, УТЭП, Кунеевский рынок, АТК КуЭСП, АТК КуЭСП, Молокозавод, Колледж технического и художественного образования, МДТ, ул. Мурысева, ГАИ Комсомольского района,  ул. Тюленина, ул. З. Космодемьянской,  ул. Есенина, Портпоселок, Русский бор, Санаторий Надежда, Лесопарковое шоссе,  ул. Спортивная, Вега, ул. Революционная, Легкоатлетический манеж, Западный пляж, пос. Приморский, ул. Фрунзе, 3-й квартал, Ленинский проспект, Дом связи,  Пожарное депо, ул. Дзержинского, Кооперативная, НТЦ ВАЗа, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Никонова, ул. Шлюзовая, ул. Гидротехническая, ул. Куйбышева, ул.Матросова, ул. Коммунистическая, Комсомольское шоссе, ул. Комзина, Лесопарковое шоссе, ул. Спортивная, пр-т Московский, ул.Заставная,  Южное шоссе;38,0;;;;;;;;;;;
;;"/8 ""ОП ТМО-2 - ОП КВЦ""";ТМО-2, ул. Ленинградская, Театр Колесо, Гидростроевская, Школа интернат №5, Детская многопрофильная больница, ул. Мичурина, КВД, Автозаводское шоссе, Восточное кольцо, АВТОВАЗ-ТО, Южное шоссе, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Советская, ул. Ленинградская, ул. Ушакова, ул.Мира, ул. Родины, ул. Лесная, Автозаводское шоссе, Южное шоссе;17,7;;;;;;;;;;;
;;"/9 ""ОП Гостиница Волга - ОП КВЦ""";Гостиница Волга, ул. Гагарина, Молодежный бульвар, площадь Свободы,  Кинотеатр Буревестник, ул. Лесная, Детская многопрофильная больница, ул. Мичурина, КВД, Автозаводское шоссе, Южное шоссе, Треугольник, 21-й квартал,  20-й квартал, 19-й квартал, Обводное шоссе, 18-й А квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка,  5 вставка,  3 вставка, 1 вставка, КВЦ;ул.Гагарина, ул.Ленина,  Молодежный бульвар, ул. Карла Маркса, ул. Лесная, Автозоводское шоссе, Южное шоссе;17,6;;;;;;;;;;;
;;"/10 ""ОП Площадь Никонова - ОП КВЦ""";Площадь Никонова, ул. Зеленая, Гидротехническая, Вокзальная, Куйбышева,  Школа 14, Жигулевское море, Мясокомбинат, АТК КуЭСП, Молокозавод, Колледж технического и художественного образования, МДТ, ул. Мурысева, ГАИ Комсомольского района, ул. Тюленина, ул. З. Космодемьянской, ул. Есенина, Портпоселок,  Русский бор, Санаторий Надежда, Лесопарковое шоссе,  Кооперативная, НТЦ ВАЗа, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Никонова, ул. Шлюзовая, ул. Гидротехническая, ул.  Куйбышева, ул. Громовой, ул. Ярославская, ул. Громовой, ул. Матросова, ул. Коммунистическая, Комсомольское шоссе, ул. Комзина, Лесопарковое шоссе, ул. Спортивная, пр-т  Московский, ул.Заставная, Южное шоссе;38,5;;;;;;;;;;;
;;"/11 ""ОП Проектное управление - ОП ул. Баныкина""";Проектное управление, Учебный центр, Управление кадров, Машиностроительный колледж, Автоваз-ТО, Восточное кольцо, УВД,  АвтоВАЗтранс, Автопарковая, ул. Полякова, Кафе Встреча, Студенческая,  Гостиница Лада, Молодежная, 16-й квартал, Строительная, Школьная, ул. Тополиная, Магазин Ассорти, Школа №88, 20-й квартал, 21-й квартал, Треугольник, Южное шоссе, Автозаводское шоссе, КВД, ул. Мичурина, Детская многопрофильная больница, Автолюбитель, ул. Крупской, Кинотеатр Авангард,  Техучилище, Магазин Детский мир, Юность, Школа №4, Индустриально-педагогический колледж, Площадь искусств, Гостиница Волга, Кинотеатр Космос, Дом быта, Больница Баныкина, Театр Колесо;ул.Воскресенская, Южное шоссе, ул. Полякова, ул.70 лет Октября, ул. Автостроителей, ул. Дзержинского , ул. Тополиная, Южное шоссе, Автозаводское шоссе, б-р 50 лет Октября, ул. Ленина, М.Горького, ул. Победы, ул. Гагарина, ул. Карла Маркса, ул.Ленинградская, ул. Ушакова, ул. Баныкина;26,0;;;;;;;;;;;
;;"/12 "" ОП КВЦ - ОП Площадь Никонова""";КВЦ, 1 вставка, 3 вставка, 5 вставка, 7 вставка, Медсанчасть, Управление кадров,  Машиностроительный колледж, АВТОВАЗ-ТО,  Восточное кольцо,  УВД, АвтоВАЗтранс, Автопарковая, 18-й А квартал, Обводное шоссе, 19-й квартал, 20-й квартал, 21-й квартал, Треугольник, Южное шоссе, Автозаводское шоссе, КВД, ул. Мичурина, Детская многопрофильная больница, Автолюбитель, ул. Крупской, Кинотеатр Авангард, Техучилище, Магазин Детский мир, Юность, Школа №4,  Индустриально-педагогический колледж, Площадь искусств, Гостиница Волга, Кинотеатр Космос, Дом быта, Больница Баныкина, Театр Колесо, ул. Белорусская, Стадион Строитель, ул. Комзина, ул. Есенина, 3-й квартал, Медсанчасть №8, Парк, ул. Л. Чайкиной, Универмаг Комсомольский, Мясокомбинат, Колхозный рынок,  УТЭП, Жигулевское море, Школа №14, ул. Куйбышева, Вокзальная,  ул. Гидротехническая, ул. Зеленая, Площадь Никонова;Южное шоссе, Автозаводское шоссе, б-р 50 лет Октября, ул. Ленина, ул. М. Горького, ул.Победы, ул. Гагарина, ул. Карла Маркса, ул. Ленинградская, ул. Ушакова, ул. Баныкина, ул. Родины, ул. Комзина,Комсомольское шоссе, ул. Коммунистическая , ул.Механизаторов, ул. Л. Чайкиной, ул. Ярославская, ул. Громовой, ул. Куйбышева, ул. Гидротехническая, ул Шлюзовая, ул.Никонова;38,0;;;;;;;;;;;
;;"/13 ""ОП ЦЗЧ-2 – ОП Площадь Никонова""";ЦЗЧ-2, Волжский машиностроительный завод, Заготовительная фабрика, ОС ВАЗа, Производство пластмассовых изделий, База УМТС, Прессовое производство, 10 КПП, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Обувная фабрика, Пивзавод,  Хладокомбинат, Молокозавод, Военный госпиталь, Жигулевское море, 5 ВСО,  Школа №14, ул. Куйбышева, ул. Вокзальная, ул. Гидротехническая, ул. Зеленая, Площадь Никонова;ул.Северная, ул. Цеховая, ул.  Вокзальная, ул. Борковская, ул. Коммунальная, Обводное шоссе, ул. Куйбышева, ул. Гидротехническая, ул. Шлюзовая, ул.Никонова;40,0;;;;;;;;;;;
102;№ 15в;ОП Вега – ОП ЦЗЧ-2;Вега, ул. Спортивная, Лесопарковое шоссе, Дворец детского творчества, Музыкальная школа, 8 квартал, б-р Буденного, Дворец спорта, Парк победы, Кафе Салют, ДКиТ, Преображенский собор, Молодежный центр, ул. Свердлова, 2-ое комплексное общежитие, 1-ое комплексное общежитие, Рынок, Южная база, Спецавтоцентр, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул.Спортивная, пр-т Ст. Разина, б-р Приморский, ул. Юбилейная, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул.  Северная;17,7;Только в установленных ОП;По регулируемым тарифам;Автобус;"БК
СК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"6
1";01.06.2026
103;№ 19в;ОП Западный пляж – ОП ЦЗЧ-2;Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, к/т Сатурн, Универсам, Аптека, Рынок, Южная база, Спецавтоцентр, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул.Спортивная, б-р Приморский, ул. Революционная, ул. Дзержинского, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул.Северная;15,8;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"4
2";01.06.2026
;;19/24 ОП Западный пляж-ОП Инженерный центр/ОП ЦЗЧ-2 - ОП Западный пляж;"прямое направление: Западный пляж, Спорткомплекс Олимп, Стадион Торпедо, ул. Революционная, Приморский бульвар, Школа им. Академика Королева, ТЦ Русь, Дом быта Орбита, Магазин 1000 мелочей, Ателье мод,  Кинотеатр Сатурн, Аптека, бульвар Кулибина, РП Московский проспект, Кооперативная, НТЦ ВАЗа, Учебный центр,  Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Производство пластмассовых изделий , База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный цех;                                                                                                                                                                                                                                                                                                                                                                             обратное направление: ЦЗЧ-2, Волжский машиностроительный завод, Заготовительная фабрика, Очистные сооружения ВАЗа, Производство пластмассовых изделий, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, Автоваз-ТО, Машиностроительный колледж, Управление кадров ВАЗа, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Учебный центр, НТЦ ВАЗа, Кооперативная, Московский пр-т, Бульвар Кулибина, Аптека, Универсам, к/т Сатурн, Дом мод, Магазин 1000 мелочей, Дом быта Орбита, Магазин Русь, Школа имени академика Королева, Приморский б-р, ул. Революционная, Стадион Торпедо, СК Олимп, Западный пляж";прямое направление: ул.Спортивная, пр-т Московский, б-р Приморский, ул.Революционная, ул. Дзержинского, ул. Заставная, Южное шоссе, ул.Цеховая, ул. Вокзальная, ул. Борковская                обратное направление: ул.Северная, ул.Цеховая, ул. Вокзальная, ул. Борковская, Южное шоссе, разворот на ОП КВЦ, Южное шоссе, ул.Заставная, ул. Дзержинского, ул. Революционная, б-р Приморский, ул.Спортивная;22,0;;;;;;;;;;;
