title;address;"CONCAT(pe.phone, ' ')";director;department
Муниципальное бюджетное учреждение культуры городского округа Тольятти «Объединение детских библиотек»;"445019 г. Тольятти,ул. М. Горького, д.42";22-37-27  ;Ухова Вера Александровна;Департамент культуры
"Муниципальное автономное учреждение городского округа Тольятти ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"445010 г. Тольятти, ул. Советская, д.51-А";52-50-50  ;Рослякова Елена Владимировна;Департамент информационных технологий и связи
Муниципальное бюджетное образовательное учреждение высшего образования городского округа Тольятти «Тольяттинская консерватория»;"445017 г. Тольятти, ул.Победы, д.46";26-37-53 26-24-26 26-37-35 48-36-05 ;"";Департамент культуры
Муниципальное бюджетное учреждение спортивная школа олимпийского резерва № 4 «Шахматы» городского округа Тольятти;"445009 г.Тольятти, ул. Революционная, д.11";27-02-39 ;Салахова Гульнара Равильевна;Департамент физической культуры и спорта
"Муниципальное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва № 1 ""Лыжные гонки"" городского округа Тольятти";"445011 г.Тольятти, ул.Родины, д. 5";28-88-94 76-65-40 ;Халаман Дмитрий Иванович ;Департамент физической культуры и спорта
Муниципальное бюджетное учреждение дополнительного образования детская музыкальная школа № 3 городского округа Тольятти;"445023 г. Тольятти, ул. Жилина, д.5";48-63-84 28-35-81 28-32-60 ;Шлыков Виктор Петрович;Департамент культуры
Муниципальное бюджетное учреждение городского округа Тольятти многофункциональный молодежный центр «Шанс»;"445054 г. Тольятти, ул.Баныкина, д. 38";55-87-64 ;Штангрет Татьяна Александровна;Департамент образования
Муниципальное бюджетное учреждение культуры городского округа Тольятти «Библиотеки Тольятти»;"445023 г. Тольятти, бульвар Ленина, д.10 ";26-77-33 26-82-86  ;Юсупова Валентина Алексеевна ;Департамент культуры
Муниципальное унитарное предприятие городского округа Тольятти Пансионат «Звездный»;"445003 г.Тольятти, Лесопарковое шоссе, д. 85";55-16-16 ;Рамазашвили Надежда Константиновна;Департамент образования
Муниципальное предприятие бытового обслуживания городского округа Тольятти Баня № 1;"445011 г. Тольятти, ул. Ставропольская, д.41";28-01-17  ;Радченко Игорь Сергеевич;Управление потребительского рынка
Муниципальное унитарное предприятие «Спецкомбинат ритуальных услуг» городского округа Тольятти;"445019 г. Тольятти, ул. Чапаева, д.81 ";28-33-23 22-04-48  ;Павлов Николай Николаевич;Департамент городского хозяйства
"Муниципальное автономное учреждение городского округа Тольятти ""Культурно-досуговый центр ""Буревестник""";"445011 г. Тольятти, ул. К. Маркса, 27";93-01-66 ;Алексеев Андрей Анатольевич;Департамент культуры
Муниципальное бюджетное учреждение городского округа Тольятти «Зеленстрой»;"г. Тольятти, Ул. Октябрьская, 6 ";22-07-82 22-94-63  ;Огиванов Дмитрий Геннадьевич;Департамент городского хозяйства
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 28"" ";"445026 г. Тольятти, бульвар Баумана, 3";37-30-66  ;Маряшова Анна Викторовна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов  № 31""  ";"445032 г. Тольятти, Бульвар Кулибина, 13";37-79-79  ;Трунькина Алла Евгеньевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 32 имени Сергея Ткачева"" ";"445027 г. Тольятти, Бульвар Буденного, 12";35-97-03  ;Федорахина Ольга Вячеславовна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 33 имени Г.Н. Гершензона""  ";"445027 г. Тольятти, Бульвар Буденного, 9";35-22-73 35-22-53 ;Гусева Лариса Анатольевна;Департамент образования
