title;address;"CONCAT(pe.phone, ' ')";director;department
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов №16 имени Н.Ф. Семизорова""";"445020 г. Тольятти, ул. Баныкина, 4";"31-88-80, 31-88-81  ";Афонин Олег Александрович;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Лицей № 19""";"445023 г. Тольятти, ул. Карла Маркса, 59";28-05-73 48-72-45 ;Кизилов Денис Сергеевич;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 20 имени Героя Советского Союза Д.М. Карбышева"" ";"445017 г. Тольятти, ул. Голосова, 83";26-33-53  ;Солодовникова Оксана Николаевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 21"" ";"445004 г. Тольятти, ул.50 лет Октября, 23";22-69-01 70-99-11 ;Скопцова Людмила Александровна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа №23 имени Пальмиро Тольятти""";"445010 г. Тольятти, ул. Ставропольская, 19";31-88-04 ; Бутина Ольга Егоровна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 26 имени героя Советского Союза В.И. Жилина""";"445023 г. Тольятти, ул. Баныкина, 12";48-44-72 48-02-67 ;Афонина Ирина Ивановна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 91 имени героя Великой Отечественной войны Федора Ларина»""";"445004 г. Тольятти, ул. Л. Толстого, 26 а";25-25-09 ;Пензилова Анастасия Павловна;Департамент образования
"Муниципальное казенное образовательное учреждение дополнительного профессионального образования ""Ресурсный центр"" городского округа Тольятти";"445017 г. Тольятти, ул Мира, 116";28-59-04 28-59-01 28-58-83 ;Сергеева Ольга Александровна;Департамент образования
Муниципальное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва № 3 «Легкая атлетика» городского округа Тольятти;"445019 г. Тольятти, ул. Республиканская, д. 1";48-28-50 ;Моталова Елена Васильевна;Департамент физической культуры и спорта
Муниципальное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва № 9 «Велотол» городского округа Тольятти;"445050 г. Тольятти, ул. Строителей, 12 а";28-05-31 ;Лаптева Анна Александровна;Департамент физической культуры и спорта
Муниципальное бюджетное учреждение спортивная школа олимпийского резерва № 14 «Жигули» городского округа Тольятти;"445003 г. Тольятти, Комсомольское шоссе, 26";57-00-51 ;И.о. директора Горячева Елена Александровна;Департамент физической культуры и спорта
"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Детский морской центр имени Героя Советского Союза Е.А. Никонова"" городского округа Тольятти";"445020 г. Тольятти, ул. Тухачевского, 6";28-04-11 ;Исаков Артем Петрович;Департамент образования
"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Дворец творчества детей и молодежи"" городского округа Тольятти";"445009 г. Тольятти, ул. Комсомольская, 78";26-52-20  ;Скрипинская Любовь Викторовна;Департамент образования
Муниципальное бюджетное образовательное учреждение дополнительного образования «Диалог» городского округа Тольятти;"445020 г. Тольятти, ул Советская, 51а";48-69-63 48-69-44 34-33-89 ;Муравьева Людмила Александровна ;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 2 ""Золотая искорка"" городского округа Тольятти";"445022 г. Тольятти, ул. Ленина, 45";22-84-91  ;Новикова Ульяна Месафовна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 5 «Филиппок» городского округа Тольятти;"445054 г. Тольятти, ул. Мира, 105";26-04-53 ;Амплеева Галина Владимировна;Департамент образования
"Муниципальное автономное дошкольное образовательное учреждение детский сад № 27 ""Лесовичок"" городского округа Тольятти";"445004 г. Тольятти, ул. 50 лет Октября, 21 ";22-61-39  ;Макеева Елена Викторовна ;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 28 «Ромашка» городского округа Тольятти;"445010 г. Тольятти, ул. Ленинградская, 38";28-33-59  ;Елизарова Ирина Владимировна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 43 ""Гнездышко"" городского округа Тольятти";"445017 г. Тольятти, ул Гагарина, 12";79-92-02 ;Донькина Наталья Михайловна;Департамент образования
Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 45 «Яблонька» городского округа Тольятти;"445017 г. Тольятти, ул. Комсомольская, 141";22-25-88  ;Безрукова Лариса Васильевна;Департамент образования
"Муниципальное бюджетное дошкольное образовательное учреждение детский сад № 48 ""Дружная семейка"" городского округа Тольятти";"445019 г. Тольятти, ул. М. Горького, 56";77-47-59 ;Лонеева Татьяна Викторовна;Департамент образования
