№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
1473;П1300000012387;63:09:0202054:1995;Нежилое помещение;"Нежилое помещение 1000: - 1 этаж, поз. № 19, 21, 21а; 1 этаж, поз.  № 46, 47, 48, 49, 50, 51, 52, 53, 54, 56, 57";Самарская область, Комсомольский район, г. Тольятти, ул. Никонова, д. 8, пом. 1000;197,8;Казна
1474;П1300000010911;63:09:0301172:1805;Нежилое помещение;Нежилое помещение: на +1 этаже №№ 17,17а,17б,17в,18,18а,18б,19,19а,19б,19в,21а,21б;Самарская область, Центральный район, г. Тольятти, б-р 50 лет Октября, д. 26, пом. б/н;130,7;Казна
1475;П1300000011505;63:09:0301115:4014;Нежилое помещение;"МОП, -1этаж  № 13-15,19,20,26,27; 1 этаж  № 17,18; 2этаж  № 22;  3 этаж  № 9,22";Самарская область, Центральный район, г. Тольятти, ул. Голосова, д. 99;337,3;Казна
1476;П1300000009919;63:09:0101180:1319;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 9, 10, 11, 11а, 11б, 12, 12а, 13, 14, 15, 16, 16а, 17, 18, 19, 20;Самарская область, Автозаводский район, г. Тольятти, б-р Приморский, д. 29;86,2;Казна
1477;П1010000081331;63:09:0301140:2812;Нежилое помещение;Нежилое помещение;Самарская область, Центральный район, г. Тольятти, ул. Новопромышленная, д. 17, комн. 1007 (ком. №№ 32, 33а, 35-39, 41-43, 43а, 45, 46, 48, 49, 51-54, 56, 57, 60, 61, 63-69, 75);450,9;Казна
1478;П1300000009911;63:09:0101170:10539;Нежилое помещение;Нежилое помещение 1001: 1 этаж, поз.  №№ 1, 2, 3, 3а, 4, 5;Самарская область, Автозаводский район, г. Тольятти, ул. Юбилейная, д. 37, комн. 1001;61;Казна
1479;П1300000009930;63:09:0101176:10326;Нежилое помещение;"МОП, на + 1 эт. № 52; + 2 эт. № 1, 56";Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 72;151,8;Казна
1480;П1010000060274;63:09:0101176:4687;Нежилое помещение;Нежилое помещение;Самарская область, Автозаводский район, г. Тольятти, б-р Приморский, д. 34, комн. 1181;74,2;Казна
1481;П1300000014428;63:09:0101175:2519;Нежилое помещение;Нежилое помещение 1000;Самарская область, Автозаводский район, г. Тольятти, ул. Фрунзе, д. 20;32,1;Казна
1482;П1300000011487;63:09:0201057:15496;Нежилое помещение;Нежилое помещение: на + 1 этаже  №  8,9,10,11,12,13;Самарская область, Комсомольский район, г. Тольятти, ул. Коммунистическая, д. 41;41,1;Казна
1483;П1300000010212;63:09:0101162:11126;Нежилое помещение;"Нежилое помещение: 17 этаж, поз. №№ 1-11; 18 этаж, поз. №№ 1-12";Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 30;396;Казна
1484;П1300000010488;63:09:0301104:1840;Нежилое помещение;"Административное, - 1 эт. № 35-90,93-95, 48а, 58а; 1 эт. № 1-27,2а,2б,2в,7а,8а,20а,23а,55-114,57а,60а,61а,61б,83а,90а,90б,116,118,119,121-129; 2 эт. № 1-40,11а,23а,29а; 3 эт. № 1-12,14-36,4а,4б,10а,20а,20б,25а,17а,17б,17в,17г,17д; 4 эт. № 1-33,18а; 5 эт. № 1-31,8а,8б;6 эт. № 1-28,2а,12а,3а,3б,4а,6а,7а,14а,14б,17а,23а,24б;  7 эт. № 1-4,6-30,32-35,21а,29а; 8 эт. № 1-4,6-37; 9 эт. № 1-31,33-35,4а,19а,28а;  10эт. № 1-11";Самарская область, Центральный район, г. Тольятти, ул. Белорусская, д. 33;12879,7;Казна
1485;П1300000014347;63:09:0201062:5884;Нежилое помещение;Нежилое помещение № 1003: 1 этаж, поз. №№ 13, 13а, 14, 15, 16, 17;Самарская область, Комсомольский район, г. Тольятти, проезд Майский, д. 68, помещение №1003;43,8;Казна
1486;П1300000009477;63:09:0101150:11344;Нежилое помещение;3 этаж, поз. № 1;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 10;110,6;Казна
1487;П1300000011225;63:09:0301155:4304;Нежилое помещение;Нежилое помещение: цокольный этаж № 1, поз. № 47,48,50;Самарская область, Центральный район, г. Тольятти, ул. Карбышева, д. 25, комн. 1001;47,4;Казна
1488;П1010000071145;63:09:0201060:16566;Нежилое помещение;Нежилое помещение на 1 этаже;Самарская область, Комсомольский район, г. Тольятти, ул. Гидротехническая, д. 35, пом. 1127;47;Казна
1489;П1300000013348;63:09:0301146:2235;Нежилое помещение;Нежилое помещение на 1 этаже;Самарская область, Центральный район, г. Тольятти, проезд Репина, д. 8, пом. 1;40;Казна
1490;П1300000009926;63:09:0101176:10050;Нежилое помещение; 1 этаж, поз. № 62,+ 2 этаж, поз. № 11, 12, 19а, 18-24, 28а, 27-32, 33а, 34б, 35, 37;Самарская область, Автозаводский район, г. Тольятти, б-р Королева, д. 20;528,1;Казна
1491;П1300000011500;63:09:0201059:1670;Нежилое помещение;"Нежилое помещение (МОП): на - 1 этаже № 2, 3, 6, 8, 40;  + 1 этаже № 5, 6, 10, 12, 13, 15, 82, 83; + 2 этаже № 6, 13, 33; + 3 этаже № 1, 2";Самарская область, Комсомольский район, г. Тольятти, ул. Лизы Чайкиной, д. 71, стр. А;494,9;Казна
1492;П1300000010839;63:09:0201057:3518;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 16, 17, 18, 19, 20, 21, 22;Самарская область, Комсомольский район, г. Тольятти, ул. Мурысева, д. 57, Б/Н (1001);59,6;Казна
