№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
1103;П1300000010328;63:32:1605001:383;Нежилое здание;Дом для обслуживающего персонала № 3;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 5, оздоровительный лагерь ""Спартак""";38,1;Оперативное управление
1104;П1300000010335;63:32:1605001:384;Нежилое здание;Дом для обслуживающего персонала № 9;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 5, оздоровительный лагерь ""Спартак""";29,3;Оперативное управление
1105;П1300000009718;63:32:1605001:387;Нежилое здание;Дом для обслуживающего персонала № 16;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 5, оздоровительный лагерь ""Спартак""";42,6;Оперативное управление
1106;П1300000011381;63:32:1605001:388;Нежилое здание;Котельная;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";48,4;Оперативное управление
1107;П1300000010777;63:32:1605001:389;Нежилое здание;Медпункт;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";125,6;Оперативное управление
1108;П1300000011393;63:32:1605001:391;Нежилое здание;Клуб-столовая;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";1665,4;Оперативное управление
1109;П1300000010769;63:32:1605001:393;Нежилое здание;Административный корпус;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";203,5;Оперативное управление
1110;П1300000011261;63:32:1605001:394;Нежилое здание;Овощехранилище со складом № 1;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";164;Оперативное управление
1111;П1300000011258;63:32:1605001:396;Нежилое здание;Теплица;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";519,7;Оперативное управление
1112;П1300000010770;63:32:1605001:397;Нежилое здание;Дом отдыха № 3;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";139,8;Оперативное управление
1113;П1300000011259;63:32:1605001:398;Нежилое здание;Хозяйственный корпус;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";425,5;Оперативное управление
1114;П1300000010778;63:32:1605001:399;Нежилое здание;Лечебный корпус;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";583,6;Оперативное управление
1115;П1300000011382;63:32:1605001:401;Нежилое здание;Бойлерная;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";20;Оперативное управление
1116;П1300000011413;63:32:1605001:402;Нежилое здание;Станция обезжелезивания;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";213;Оперативное управление
1117;П1300000011256;63:32:1605001:403;Нежилое здание;Душевые;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";68,2;Оперативное управление
1118;П1300000011253;63:32:1605001:404;Нежилое здание;Спальный корпус № 2;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";1585,4;Оперативное управление
1119;П1300000010773;63:32:1605001:405;Нежилое здание;Дом отдыха № 1;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";114,1;Оперативное управление
1120;П1300000011388;63:32:1605001:406;Нежилое здание;Трансформаторная подстанция;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";50,2;Оперативное управление
1121;П1300000010772;63:32:1605001:407;Нежилое здание;Дом отдыха № 2;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";140,5;Оперативное управление
1122;П1300000011387;63:32:1605001:409;Нежилое здание;Сварочный пост;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";51,2;Оперативное управление
1123;П1300000011255;63:32:1605001:410;Нежилое здание;Склад № 6;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";30,6;Оперативное управление
1124;П1300000011254;63:32:1605001:411;Нежилое здание;Спальный корпус № 1;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";1727,4;Оперативное управление
1125;П1300000010774;63:32:1605001:414;Нежилое здание;Гидромассажный корпус;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";297,9;Оперативное управление
1126;П1300000011392;63:32:1605001:415;Нежилое здание;КНС;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал № 3, оздоровительный лагерь ""Электроник""";46,1;Оперативное управление
1127;П1300000010824;63:32:1804008:356;Нежилое здание;Домик (лит. А10);"Ставропольский район , база отдыха ""Лесобон""";35,1;Оперативное управление
1128;П1300000011461;63:37:1801005:78;Нежилое здание;Нежилое здание - Склад №5;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";26,7;Оперативное управление
1129;П1300000009567;63:37:2001011:10013;Нежилое здание;Нежилое здание - дом для обслуживающего персонала №2;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";71,4;Оперативное управление
1130;П1300000010979;63:37:2001011:10018;Нежилое здание;Спальный дом № 2;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";110,2;Оперативное управление
1131;П1300000009563;63:37:2001011:10039;Нежилое здание;Нежилое здание - дом для обслуживающего персонала № 3;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";48,8;Оперативное управление
1132;П1300000009537;63:37:2001011:10057;Нежилое здание;Нежилое здание - Дом сторожа №2;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";20,7;Оперативное управление
1133;П1300000009574;63:37:2001011:9590;Нежилое здание;Нежилое здание - дом для обслуживающего персонала №8;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";47,9;Оперативное управление
1134;П1300000009543;63:37:2001011:9591;Нежилое здание;Нежилое здание - Спальный дом №21;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";39,6;Оперативное управление
1135;П1300000009542;63:37:2001011:9592;Нежилое здание;Нежилое здание - Спальный дом №22;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";42;Оперативное управление
1136;П1300000009568;63:37:2001011:9593;Нежилое здание;Нежилое здание - Спальный дом №37;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,1;Оперативное управление
1137;П1300000009569;63:37:2001011:9594;Нежилое здание;Спальный дом № 38;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";12,6;Оперативное управление
1138;П1300000009575;63:37:2001011:9595;Нежилое здание;Нежилое здание - Спальный дом №40;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,4;Оперативное управление
1139;П1300000009579;63:37:2001011:9596;Нежилое здание;Нежилое здание - Спальный дом №41;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,3;Оперативное управление
1140;П1300000011468;63:37:2001011:9597;Нежилое здание;Нежилое здание - спальный дом № 15;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";88,8;Оперативное управление
1141;П1300000011467;63:37:2001011:9598;Нежилое здание;Нежилое здание - спальный дом №4;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";92,5;Оперативное управление
1142;П1300000011466;63:37:2001011:9599;Нежилое здание;Спальный дом № 3;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";102,8;Оперативное управление
1143;П1300000011465;63:37:2001011:9600;Нежилое здание;Нежилое здание - спальный дом № 6;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";96,5;Оперативное управление
1144;П1300000011463;63:37:2001011:9601;Нежилое здание;Нежилое здание - Спальный дом №5;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";98,3;Оперативное управление
1145;П1300000011460;63:37:2001011:9602;Нежилое здание;Здание для проведения тематических кружков № 2;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";45,6;Оперативное управление
1146;П1300000009538;63:37:2001011:9603;Нежилое здание;Нежилое здание - спальный дом № 11;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";90,1;Оперативное управление
1147;П1300000010967;63:37:2001011:9604;Нежилое здание;Административный дом;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";105;Оперативное управление
1148;П1300000010964;63:37:2001011:9605;Нежилое здание;Нежилое здание - Дом для обслуживающего персонала №6;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";41,8;Оперативное управление
1149;П1300000010835;63:37:2001011:9606;Нежилое здание;Нежилое здание - дом сторожа № 1;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";14,4;Оперативное управление
1150;П1300000010830;63:37:2001011:9607;Нежилое здание;Склад № 1;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";244,3;Оперативное управление
1151;П1300000009580;63:37:2001011:9610;Нежилое здание;Нежилое здание - Спальный дом №42;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,1;Оперативное управление
1152;П1300000009581;63:37:2001011:9611;Нежилое здание;Нежилое здание - Спальный дом №43;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,6;Оперативное управление
1153;П1300000009560;63:37:2001011:9612;Нежилое здание;Нежилое здание - клуб;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";774,5;Оперативное управление
1154;П1300000010980;63:37:2001011:9613;Нежилое здание;Медпункт;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";124,1;Оперативное управление
1155;П1300000010973;63:37:2001011:9614;Нежилое здание;Спальный дом № 7;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";106,1;Оперативное управление
1156;П1300000010970;63:37:2001011:9615;Нежилое здание;Нежилое здание - Спальный дом №9;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";172,3;Оперативное управление
1157;П1300000010968;63:37:2001011:9617;Нежилое здание;Нежилое здание - гостевой дом;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";38,3;Оперативное управление
1158;П1300000010966;63:37:2001011:9618;Нежилое здание;Нежилое здание - Дом для обслуживающего персонала №5;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";69,8;Оперативное управление
1159;П1300000011470;63:37:2001011:9619;Нежилое здание;Нежилое здание - спальный дом № 13;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";88;Оперативное управление
1160;П1300000010960;63:37:2001011:9620;Нежилое здание;Нежилое здание - спальный дом № 24;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";31,9;Оперативное управление
1161;П1300000010959;63:37:2001011:9621;Нежилое здание;Здание холодильной установки;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";26,9;Оперативное управление
1162;П1300000009558;63:37:2001011:9622;Нежилое здание;Здание для проведения тематических кружков № 1;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";31,1;Оперативное управление
1163;П1300000009557;63:37:2001011:9623;Нежилое здание;Нежилое здание - дом для проведения игр № 2;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";54,6;Оперативное управление
1164;П1300000009556;63:37:2001011:9624;Нежилое здание;Нежилое здание - дом для проведения игр №1;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";54,4;Оперативное управление
1165;П1300000009728;63:37:2001011:9631;Нежилое здание;Нежилое здание - Спальный дом №46;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,7;Оперативное управление
1166;П1300000009729;63:37:2001011:9632;Нежилое здание;Нежилое здание - Спальный дом №47;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,7;Оперативное управление
1167;П1300000009730;63:37:2001011:9633;Нежилое здание;Нежилое здание - Спальный дом №48;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,7;Оперативное управление
1168;П1300000009731;63:37:2001011:9634;Нежилое здание;Нежилое здание - Спальный дом №49;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";46;Оперативное управление
1169;П1300000009733;63:37:2001011:9635;Нежилое здание;Нежилое здание - Спальный дом №50;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,7;Оперативное управление
1170;П1300000009835;63:37:2001011:9636;Нежилое здание;Нежилое здание - Спальный дом №51;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,7;Оперативное управление
1171;П1300000009838;63:37:2001011:9637;Нежилое здание;Нежилое здание - летняя кухня;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";60,4;Оперативное управление
1172;П1300000009839;63:37:2001011:9638;Нежилое здание;Нежилое здание - Склад №7;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";69,6;Оперативное управление
1173;П1300000009848;63:37:2001011:9639;Нежилое здание;Нежилое здание - летнее кафе;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";64,5;Оперативное управление
1174;П1300000009565;63:37:2001011:9640;Нежилое здание;Нежилое здание - Спальный дом №36;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";15,7;Оперативное управление
1175;П1300000009572;63:37:2001011:9641;Нежилое здание;Склад № 3;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";68,4;Оперативное управление
1176;П1300000009540;63:37:2001011:9642;Нежилое здание;Нежилое здание - Спальный дом №23;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";39,5;Оперативное управление
1177;П1300000009539;63:37:2001011:9643;Нежилое здание;Нежилое здание - спальный дом № 12;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";91,8;Оперативное управление
1178;П1300000011472;63:37:2001011:9644;Нежилое здание;Нежилое здание - спальный дом № 14;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";85,8;Оперативное управление
1179;П1300000011469;63:37:2001011:9645;Нежилое здание;Нежилое здание - спальный дом № 16;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";91,8;Оперативное управление
1180;П1300000009582;63:37:2001011:9646;Нежилое здание;Нежилое здание - Спальный дом №44;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,7;Оперативное управление
1181;П1300000009724;63:37:2001011:9647;Нежилое здание;Нежилое здание - Спальный дом №45;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,7;Оперативное управление
1182;П1300000009849;63:37:2001011:9648;Нежилое здание;Нежилое здание - Спальный дом №52;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";46;Оперативное управление
1183;П1300000009857;63:37:2001011:9649;Нежилое здание;Нежилое здание - спальный дом № 57;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";40,8;Оперативное управление
1184;П1300000009859;63:37:2001011:9650;Нежилое здание;Нежилое здание - спальный дом № 58;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";40,4;Оперативное управление
1185;П1300000009860;63:37:2001011:9651;Нежилое здание;Нежилое здание - спальный дом № 59;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";40,3;Оперативное управление
1186;П1300000009861;63:37:2001011:9652;Нежилое здание;Нежилое здание - Спальный дом №60;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";39,7;Оперативное управление
1187;П1300000009862;63:37:2001011:9653;Нежилое здание;Нежилое здание - Дом сторожа№ 3;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";22,8;Оперативное управление
1188;П1300000009553;63:37:2001011:9654;Нежилое здание;Нежилое здание - Спальный дом №33;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,8;Оперативное управление
1189;П1300000009573;63:37:2001011:9655;Нежилое здание;Нежилое здание - Спальный дом №39;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,1;Оперативное управление
1190;П1300000009541;63:37:2001011:9656;Нежилое здание;Нежилое здание - Спальный дом №27;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";34,6;Оперативное управление
1191;П1300000011471;63:37:2001011:9657;Нежилое здание;Нежилое здание - Спальный дом №26;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";40,4;Оперативное управление
1192;П1300000011462;63:37:2001011:9658;Нежилое здание;Здание дизельной;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";18,7;Оперативное управление
1193;П1300000009578;63:37:2001011:9659;Нежилое здание;Нежилое здание - столярная мастерская;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";251,3;Оперативное управление
1194;П1300000009577;63:37:2001011:9660;Нежилое здание;Нежилое здание - Склад №4;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";240;Оперативное управление
1195;П1300000009576;63:37:2001011:9661;Нежилое здание;Баня;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";45,6;Оперативное управление
1196;П1300000009851;63:37:2001011:9662;Нежилое здание;Нежилое здание - дом для проведения игр №3;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";56,9;Оперативное управление
1197;П1300000009852;63:37:2001011:9663;Нежилое здание;Нежилое здание - дом для проведения игр №4;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";56,8;Оперативное управление
1198;П1300000009853;63:37:2001011:9664;Нежилое здание;Нежилое здание - Спальный  дом №53;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,7;Оперативное управление
1199;П1300000009854;63:37:2001011:9665;Нежилое здание;Нежилое здание - Спальный дом №54;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";13,6;Оперативное управление
1200;П1300000009855;63:37:2001011:9666;Нежилое здание;Нежилое здание - спальный дом № 55;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";40,7;Оперативное управление
1201;П1300000009856;63:37:2001011:9667;Нежилое здание;Нежилое здание - Спальный дом №56;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";40,1;Оперативное управление
1202;П1300000009555;63:37:2001011:9668;Нежилое здание;Нежилое здание - Спальный дом №34;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";14,9;Оперативное управление
1203;П1300000009559;63:37:2001011:9669;Нежилое здание;Нежилое здание - Спальный дом №35;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";15,7;Оперативное управление
1204;П1300000009552;63:37:2001011:9670;Нежилое здание;Нежилое здание - Склад №6;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";30,1;Оперативное управление
1205;П1300000009551;63:37:2001011:9671;Нежилое здание;Нежилое здание - Спальный дом №32;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";21,1;Оперативное управление
1206;П1300000009547;63:37:2001011:9672;Нежилое здание;Нежилое здание - Спальный дом №31;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";21;Оперативное управление
1207;П1300000009546;63:37:2001011:9673;Нежилое здание;Нежилое здание - Спальный дом №30;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";21;Оперативное управление
1208;П1300000009545;63:37:2001011:9674;Нежилое здание;Нежилое здание - Спальный дом №29;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";21,2;Оперативное управление
1209;П1300000009544;63:37:2001011:9675;Нежилое здание;Нежилое здание - Спальный дом №28;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";21,1;Оперативное управление
1210;П1300000011464;63:37:2001011:9676;Нежилое здание;Нежилое здание - Спальный дом №25;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";45;Оперативное управление
1211;П1300000009571;63:37:2001011:9677;Нежилое здание;Нежилое здание - дом для обслуживающего персонала №7;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";195,1;Оперативное управление
1212;П1300000009570;63:37:2001011:9678;Нежилое здание;Нежилое здание - дом для обслуживающего персонала №1;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";84,2;Оперативное управление
1213;П1300000009566;63:37:2001011:9680;Нежилое здание;Котельная;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";27,1;Оперативное управление
1214;П1300000009564;63:37:2001011:9681;Нежилое здание;Нежилое здание -хозблок;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";154,8;Оперативное управление
1215;П1300000009562;63:37:2001011:9682;Нежилое здание;Нежилое здание - дом для обслуживающего персонала № 4;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";51,3;Оперативное управление
1216;П1300000009561;63:37:2001011:9683;Нежилое здание;Склад № 2;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";43,8;Оперативное управление
1217;П1300000009550;63:37:2001011:9684;Нежилое здание;Нежилое здание - Спальный дом №18;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";44,4;Оперативное управление
1218;П1300000009549;63:37:2001011:9685;Нежилое здание;Нежилое здание - Спальный дом №19;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";43,7;Оперативное управление
1219;П1300000009548;63:37:2001011:9686;Нежилое здание;Нежилое здание - Спальный дом №20;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";44,6;Оперативное управление
1220;П1300000010974;63:37:2001011:9687;Нежилое здание;Спальный дом № 8;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";106,1;Оперативное управление
1221;П1300000010958;63:37:2001011:9699;Нежилое здание;Нежилое здание - овощехранилище;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";64,8;Оперативное управление
1222;П1300000010976;63:37:2001011:9700;Нежилое здание;Спальный дом № 1;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";105,3;Оперативное управление
1223;П1300000010831;63:37:2001011:9703;Нежилое здание;Столовая;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";1072,4;Оперативное управление
1224;П1300000010969;63:37:2001011:9705;Нежилое здание;Нежилое здание - Спальный дом №10;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";173,2;Оперативное управление
1225;П1300000010971;63:37:2001011:9982;Нежилое здание;Спальный корпус № 1;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";122,5;Оперативное управление
1226;П1300000009554;63:37:2001011:9985;Нежилое здание;Нежилое здание - Спальный дом №17;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";43,7;Оперативное управление
1227;П1300000010972;63:37:2001011:9986;Нежилое здание;Спальный корпус № 2;"Шигонский район , Усольское лесничество Волжского ГЛОХ, кв. 16, о/л ""Звездочка""";124,3;Оперативное управление
1228;П1300000014527;;Нежилое помещение;Нежилое помещение № 1008;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 7, корп. 2 помещение 1008;26,5;Казна
1229;П1300000014526;;Нежилое помещение;Нежилое помещение № 1007;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 7, корп. 2 помещение 1007;33,7;Казна
1230;П1300000014524;;Нежилое помещение;Нежилое помещение № 1004;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 7, корп. 2 помещение 1004;31,2;Казна
1231;П1300000014523;;Нежилое помещение;Нежилое помещение № 1003;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 7, корп. 2 помещение 1003;69,8;Казна
1232;П1300000014525;;Нежилое помещение;Нежилое помещение № 1005;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 7, корп. 2 помещение 1005;21,1;Казна
1233;П1300000010460;63:09:0101150:12038;Нежилое помещение;Нежилое помещение на + 1 эт. № 8,8А,9,10,11,12;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 18;45,2;Казна
1234;П1300000010800;63:09:0101169:1605;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 9, 10, 11, 12, 13, 14, 15;Самарская область, Автозаводский район, г. Тольятти, ул. Фрунзе, д. 9;60,4;Казна
1235;П1300000010093;63:09:0101163:8877;Нежилое помещение;Нежилое помещение (1 этаж, поз. № 152-162);Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 51, комн. 152-159;106,8;Казна
1236;П1300000010242;63:09:0301100:1774;Нежилое помещение;Нежилое помещение: 1 этаж, поз. № 1-4;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 61;74,6;Казна
1237;П1010000067355;63:09:0101156:6122;Нежилое помещение;Нежилое помещение на 2 этаже;Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, д. 2, комн. 38;34,3;Казна
